 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
| 12/07 | 00:08 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           8129   |            661   |
| 12/07 | 00:08 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.403|40.963|42.407| 425360|      0|           8903   |            675   |
| 12/07 | 00:10 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|35.962|40.842|42.277| 429200|      0|           8868   |            665   |
| 12/07 | 00:11 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.525|41.078|42.787| 310480|      0|           8407   |            656   |
| 12/07 | 20:10 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.403|40.963|42.407| 425360|      0|           5939   |            681   |
| 12/07 | 20:12 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.291|40.943|42.451| 429440|      0|           5941   |            677   |
| 12/07 | 20:13 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.291|40.943|42.451| 429440|      0|           6152   |            699   |
| 12/07 | 20:29 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.291|40.943|42.451| 429440|      0|          16852   |            693   |
| 12/07 | 20:30 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|35.988|40.880|42.282| 417520|      0|           6163   |            689   |
| 12/07 | 20:50 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           9089   |            725   |
| 12/07 | 20:52 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|           5882   |            716   |
| 12/07 | 20:53 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.739|41.084|42.727| 314320|      0|           5806   |            694   |
| 12/08 | 20:35 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|35.988|40.880|42.282| 417520|      0|           6097   |            689   |
| 12/08 | 21:08 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|35.988|40.880|42.282| 417520|      0|          97191   |            664   |
| 12/08 | 21:16 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.319|40.645|42.116| 556320|      0|           6746   |            759   |
| 12/08 | 21:18 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.461|40.607|42.236| 600480|      0|           6834   |            760   |
| 12/08 | 21:20 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|35.988|40.880|42.282| 417520|      0|          10198   |            769   |
| 12/08 | 21:21 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|35.988|40.880|42.282| 417520|      0|           6846   |            726   |
| 12/08 | 21:22 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.233|40.716|42.225| 504320|      0|           8880   |            979   |
| 12/08 | 21:24 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.461|40.607|42.236| 600480|      0|           6946   |            753   |
| 12/08 | 21:25 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.461|40.607|42.236| 600480|      0|          13961   |            751   |
| 12/08 | 21:35 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.461|40.607|42.236| 600480|      0|         609282   |            728   |
| 12/08 | 21:36 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.461|40.607|42.236| 600480|      0|           8783   |            841   |
| 12/08 | 22:01 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.499|40.606|42.187| 603840|      0|           7301   |            784   |
| 12/08 | 22:03 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.499|40.606|42.187| 603840|      0|           9861   |           1049   |
| 12/08 | 22:43 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           5701   |            706   |
| 12/08 | 22:44 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|           5667   |            683   |
| 12/08 | 22:45 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|37.034|41.078|42.751| 292720|      0|           5645   |            696   |
| 12/08 | 22:46 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|           5746   |            701   |
| 12/09 | 11:23 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|          38773   |            654   |
| 12/09 | 11:27 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|           5745   |            669   |
| 12/09 | 11:28 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|           6085   |            706   |
| 12/09 | 11:31 |    foreman_qcif.yuv|    3 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  30  |   OFF   |37.376|41.260|42.850|36.733|41.106|42.758| 310800|      0|           5772   |            687   |
